,NN,IN,CLOSE,OPEN
0_0,0.8037,0.2307,0.0188,0.0066
0_1,0.9605,0.9222,0.1479,0.0901
0_2,0.8909,0.9728,0.3952,0.3986
0_3,0.9031,0.9736,0.6319,0.4942
0_4,0.9205,0.9734,0.7508,0.578
0_5,0.9292,0.974,0.7608,0.621
0_6,0.9307,0.9746,0.7622,0.635
0_7,0.9332,0.9741,0.7637,0.6446
0_8,0.9337,0.9744,0.7713,0.6634
0_9,0.9352,0.9748,0.7853,0.6954
0_10,0.9367,0.9755,0.791,0.725
0_11,0.9387,0.9757,0.7947,0.7404
0_12,0.9391,0.9765,0.8107,0.7512
0_13,0.9397,0.9761,0.8237,0.7493
0_14,0.9402,0.9762,0.8526,0.7592
0_15,0.9403,0.9774,0.8654,0.7584
0_16,0.9427,0.9777,0.8698,0.7611
0_17,0.9419,0.9773,0.8701,0.7641
0_18,0.9422,0.978,0.8728,0.7658
0_19,0.9423,0.9781,0.8766,0.7681
0_20,0.9436,0.9782,0.8717,0.769
0_21,0.9431,0.9783,0.8713,0.7726
0_22,0.9442,0.9783,0.8726,0.7692
0_23,0.9452,0.9787,0.8761,0.773
0_24,0.9444,0.9788,0.8774,0.7762
0_25,0.9437,0.9787,0.878,0.7761
0_26,0.9453,0.9786,0.8785,0.7769
0_27,0.9455,0.9791,0.8786,0.7751
0_28,0.9455,0.9785,0.8787,0.7771
0_29,0.947,0.9801,0.8773,0.7816
0_30,0.9461,0.9787,0.8817,0.7814
0_31,0.9471,0.9789,0.8807,0.7834
0_32,0.9483,0.979,0.88,0.7799
0_33,0.9459,0.9787,0.8794,0.7871
0_34,0.9492,0.979,0.881,0.7823
0_35,0.947,0.9799,0.8798,0.7881
0_36,0.9472,0.9793,0.8811,0.7844
0_37,0.9475,0.9799,0.8796,0.7873
0_38,0.9497,0.9795,0.8817,0.7867
0_39,0.9489,0.9789,0.8844,0.7863
1_0,0.9489,0.9801,0.8831,0.7902
1_1,0.9496,0.9797,0.8793,0.7858
1_2,0.9483,0.9797,0.8862,0.7867
1_3,0.9494,0.9789,0.8818,0.7911
1_4,0.9486,0.98,0.8832,0.7924
1_5,0.9503,0.9804,0.8855,0.7947
1_6,0.9496,0.9801,0.8856,0.7894
1_7,0.9495,0.9799,0.8841,0.7886
1_8,0.9502,0.9798,0.8853,0.7917
1_9,0.9502,0.9801,0.8852,0.7924
1_10,0.9509,0.9798,0.8846,0.7938
1_11,0.9509,0.9802,0.8833,0.7928
1_12,0.9512,0.9804,0.8837,0.7936
1_13,0.9508,0.9809,0.8837,0.7901
1_14,0.9506,0.9799,0.8863,0.7946
1_15,0.9507,0.9808,0.8863,0.7941
1_16,0.9523,0.9802,0.887,0.7948
1_17,0.9516,0.9805,0.8824,0.795
1_18,0.9515,0.9808,0.8854,0.7953
1_19,0.9513,0.9808,0.887,0.7951
1_20,0.9526,0.981,0.8827,0.7951
1_21,0.9517,0.9811,0.8827,0.7961
1_22,0.9529,0.9808,0.8822,0.7958
1_23,0.9518,0.9809,0.8867,0.7977
1_24,0.9518,0.9812,0.8861,0.801
1_25,0.9531,0.9814,0.886,0.7979
1_26,0.9528,0.9812,0.8854,0.7983
1_27,0.9522,0.9813,0.8862,0.7994
1_28,0.953,0.981,0.8865,0.7984
1_29,0.9525,0.9818,0.8857,0.7996
1_30,0.9537,0.9807,0.8878,0.8013
1_31,0.954,0.982,0.8871,0.8018
1_32,0.953,0.9811,0.8874,0.7986
1_33,0.9535,0.9814,0.8886,0.8062
1_34,0.9544,0.9814,0.8866,0.8037
1_35,0.954,0.9821,0.8861,0.806
1_36,0.9536,0.9814,0.8869,0.8031
1_37,0.9531,0.9821,0.8875,0.8042
1_38,0.954,0.9813,0.8861,0.8027
1_39,0.9549,0.9816,0.8877,0.8021
2_0,0.9545,0.9819,0.8889,0.8058
2_1,0.9551,0.9817,0.8852,0.8042
2_2,0.9532,0.982,0.89,0.8036
2_3,0.9547,0.9816,0.8873,0.8051
2_4,0.9544,0.9818,0.8885,0.8075
2_5,0.9549,0.9824,0.8897,0.8105
2_6,0.9547,0.9824,0.8892,0.8063
2_7,0.9554,0.982,0.8873,0.8048
2_8,0.955,0.9822,0.8897,0.808
2_9,0.9558,0.9816,0.8885,0.8079
2_10,0.9556,0.9821,0.8897,0.8086
2_11,0.9559,0.982,0.8876,0.806
2_12,0.955,0.9824,0.8874,0.8094
2_13,0.9553,0.9823,0.8885,0.8048
2_14,0.9558,0.9823,0.8898,0.8089
2_15,0.9551,0.9824,0.8912,0.808
2_16,0.9566,0.9825,0.8893,0.8089
2_17,0.956,0.9825,0.8905,0.8094
2_18,0.9558,0.9824,0.889,0.8096
2_19,0.9558,0.9825,0.8909,0.8082
2_20,0.9563,0.9827,0.8885,0.81
2_21,0.9565,0.9827,0.8853,0.8102
2_22,0.9563,0.9823,0.8883,0.811
2_23,0.9564,0.9827,0.8891,0.8086
2_24,0.9569,0.983,0.8904,0.8103
2_25,0.9568,0.9828,0.8903,0.8112
2_26,0.9568,0.9829,0.8888,0.81
2_27,0.9563,0.9822,0.8914,0.8115
2_28,0.9566,0.983,0.8884,0.8097
2_29,0.9572,0.9834,0.8876,0.8121
2_30,0.9572,0.9825,0.8919,0.8136
2_31,0.9573,0.9828,0.8903,0.8134
2_32,0.957,0.9831,0.8911,0.8103
2_33,0.9566,0.9828,0.8934,0.8161
